estimand,estimate,std_err,ci_lower,ci_upper,p_value,note
ATE_global,0.181704399832765,0.0452897316908516,0.0929365257186962,0.270472273946834,6.01952568446785e-05,"Full dataset N=445, median imputation"
ATT_treated,0.180784032437804,0.0458944177794993,0.090830973589985,0.270737091285622,8.1777950319304e-05,"Full dataset N=445, median imputation"
ATE_overlap,0.18070998344496,0.0461594999701539,0.0902373635034584,0.271182603386462,9.04404094775218e-05,"Full dataset N=445, median imputation — PRIMARY ESTIMATE"
